first_name,middle_name,last_name,email,do_not_call,p2ptext_optout,mobile_phone,home_phone,work_phone,best_phone,join_date,xdate,membership_status,memb_status_letter,membership_type,monthly_dues_status,yearly_dues_status,union_member,union_name,union_local,accomodations,race,student_yes_no,student_school_name,mailing_pref,actionkit_id,dsa_chapter,ydsa_chapter,congressional_district,address1,address2,city,state,zip,country,lat,lon
Chase,,Thomas,timothyhodges@example.com,,,(386)651-1112,,,(386)651-1112,2021-07-19,2024-04-16,Member in Good Standing,M,annual,lapsed,canceled_by_user,"No, not a union member",,,,Asian,No,,Membership card only,95663,San Francisco,,ME_02,181 Davis Station,Suite 947,New Joel,OR,94171,US,,
Molly,,Graham,barrybaldwin@example.com,,,,,,,2016-08-26,2017-12-10,Lapsed,L,annual,canceled_by_failure,never,Currently organizing my workplace,,,,Hispanic / Latinx,"Yes, graduate student",Poinsettia Elementary,Membership card only,33195,San Francisco,,ME_02,122 Allen Summit,Suite 690,Isabellaview,WI,94130,US,,
Ricardo,,West,brenda04@example.net,,,(519)618-8408,9978865263,,(519)618-8408,2017-03-30,2023-12-22,Member,M,one-time,past_due,,"No, not a union member",,,,Prefer Not to Say,No,,No,198510,San Francisco,,ME_02,3588 Foley Knoll,Apt. 460,Tylerport,KS,94177,US,,
Jonathan,,Delgado,karen78@example.org,,,(927)589-5839,,,(927)589-5839,2021-05-29,2023-01-18,Member,M,one-time,past_due,,"No, but former union member",,,,Hispanic / Latinx,"Yes, graduate student",IDYLLWILDE ELEMENTARY SCHOOL,No,822455,San Francisco,,ME_01,6684 Crystal Ports,Suite 513,Ethanborough,CA,94129,US,,
Melissa,,Baker,james85@example.net,,,7358906256,7972753521,,7358906256,2017-03-21,2024-12-17,Member in Good Standing,M,annual,canceled_by_admin,canceled_by_processor,"Yes, retired union member",,224,,Jewish,"Yes, graduate student",Aborn,Membership card only,354551,San Francisco,,ME_01,3541 Lisa Landing,Suite 955,New Jessica,TX,94139,US,,
Joshua,,Garza,spatterson@example.com,,,,,,,2023-11-08,2025-03-09,Member in Good Standing,M,income-based,active,canceled_by_failure,"No, not a union member",,,,West Asian / Middle Eastern,"Yes, graduate student",Lowpoint-Washburn Elem School,Yes,994348,San Francisco,,ME_01,16222 Peter Trafficway,Suite 390,Lake Jacobburgh,OH,94156,US,,
Alvin,,Zavala,jennifer67@example.net,True,,,4749274210,,4749274210,2017-08-20,2019-05-30,Lapsed,L,income-based,canceled_by_failure,canceled_by_failure,,,,,Prefer Not to Say,,,No,70820,San Francisco,,ME_02,359 Clayton Alley,Apt. 257,Rodriguezview,AS,94188,US,,
Marco,,Bowman,rgonzalez@example.net,,,(335)281-3283,,,(335)281-3283,2020-06-26,2022-02-25,Lapsed,L,monthly,past_due,,"Yes, retired union member",AFSCME,3192,,Black / of African Descent,No,,Membership card only,767464,San Francisco,,ME_02,288 John Green,Suite 522,West Williamfort,AL,94161,US,,
Kathy,Theresa,Ray,lmartinez@example.com,,,6672527546,,,6672527546,2018-08-07,2021-12-05,Lapsed,L,monthly,lapsed,canceled_by_processor,"No, not a union member",,,,Hispanic / Latinx,,,No,663883,San Francisco,,ME_01,43408 Candace Skyway,Suite 676,South Marystad,VA,94150,US,,
Scott,,Reed,mharper@example.org,,,,651-796-0823,,651-796-0823,2016-10-15,2024-04-09,Member in Good Standing,M,monthly,canceled_by_processor,canceled_by_processor,"No, but former union member",,,,Hispanic / Latinx,"Yes, college student",Encinal Elementary,Membership card only,683014,San Francisco,,ME_01,716 Kristina Divide,Suite 151,Jamesview,DC,94172,US,,
Jessica,,Cruz,xblair@example.net,,,878-472-8415,8095231519,,878-472-8415,2019-03-27,2020-09-28,Lapsed,L,yearly,lapsed,canceled_by_processor,"No, but former union member",,,,Asian,"Yes, college student",Saint Clair Area El/MS,Yes,983312,San Francisco,,ME_02,459 Hunter Fords,Suite 416,Richardsonview,KS,94130,US,,
David,,Allen,uhoward@example.org,,,,,,,2018-12-06,2022-06-20,Lapsed,L,yearly,past_due,canceled_by_failure,"Yes, retired union member",AFT,4408,,Black / of African Descent,"Yes, college student",NEW SMYRNA BEACH MIDDLE SCHOOL,No,788909,San Francisco,,ME_02,4926 Carrie Village,Suite 943,Lake Gregoryborough,UT,94120,US,,
Jason,,Acevedo,prichard@example.org,,TRUE,(771)217-8932,,,(771)217-8932,2021-10-05,2024-10-21,Member in Good Standing,M,one-time,lapsed,canceled_by_user,"Yes, retired union member",IBEW,1767,,Native American / Indigenous,"Yes, graduate student",West Newton Elementary School,Yes,274325,San Francisco,,ME_01,6763 Joe Via,Apt. 145,Blackfurt,WA,94126,US,,
Scott,,Gregory,ymorris@example.com,,,(969)730-8533,354-911-6420,,(969)730-8533,2016-08-22,2018-04-11,Lapsed,L,monthly,canceled_by_processor,canceled_by_processor,"Yes, retired union member",UAW,618,,Pacific Islander,"Yes, graduate student",GRACE HILL ELEMENTARY SCHOOL,Membership card only,171595,San Francisco,,ME_02,046 Jamie Knolls,Suite 619,Dakotaview,VI,94136,US,,
Gregory,,Powell,henryhooper@example.com,,,688-912-3809,846-449-9015,,688-912-3809,2021-12-09,2024-10-21,Member in Good Standing,M,monthly,canceled_by_admin,,,,,,Asian,"Yes, graduate student",North Vernon Elementary School,Membership card only,846407,San Francisco,,ME_01,491 Jason Stream,Suite 715,Muellerchester,WA,94106,US,,
Jessica,Dana,Owens,vargasabigail@example.com,,,,,,,2019-09-19,2020-12-13,Lapsed,L,annual,past_due,canceled_by_admin,"No, not a union member",,,,Black / of African Descent,,,Membership card only,782475,San Francisco,,ME_01,2390 Ayala Place,Apt. 588,Sotohaven,WY,94131,US,,
Natalie,,Hall,ulyons@example.net,,TRUE,,,,,2022-03-13,2024-09-12,Member in Good Standing,M,income-based,canceled_by_failure,canceled_by_processor,"Yes, current union member",,3769,,Black / of African Descent,"Yes, high school student",THOMPSON VALLEY HIGH SCHOOL,No,116947,San Francisco,,ME_01,0590 Esparza Spur,Suite 201,Arthurland,WI,94117,US,,
Derek,Robert.,Bauer,terri24@example.com,,,,,,,2020-06-13,2023-08-13,Member,M,income-based,past_due,canceled_by_failure,Currently organizing my workplace,,,,Pacific Islander,"Yes, graduate student",Brandeis Elementary,No,736183,San Francisco,,ME_02,8554 Elizabeth Green,Apt. 587,Sandersport,WV,94110,US,,
Mary,,Todd,terrence85@example.org,,,777-756-0244,,,777-756-0244,2016-01-01,2024-03-16,Member in Good Standing,M,income-based,canceled_by_admin,active,Currently organizing my workplace,,,,Black / of African Descent,,,Yes,942878,San Francisco,,ME_02,09611 Sean Ramp,Apt. 247,Johnsonhaven,WV,94150,US,,
Connie,,Fernandez,lauriewright@example.org,True,TRUE,,,,,2022-11-27,2024-05-29,Member in Good Standing,M,annual,past_due,canceled_by_user,"Yes, current union member",NEA,4598,,West Asian / Middle Eastern,,,No,29876,San Francisco,,ME_01,092 Glenda Corner,Suite 875,North Jessica,CT,94143,US,,
Nicolas,,White,jlong@example.org,,,262-759-8343,(846)881-3528,,262-759-8343,2019-02-12,2022-11-05,Lapsed,L,one-time,canceled_by_failure,canceled_by_admin,"Yes, retired union member",Teamsters,55,,Black / of African Descent,"Yes, graduate student",WHITTIER EL,Membership card only,548956,San Francisco,,ME_02,4324 Jones Throughway,Apt. 833,Davidfort,SD,94126,US,,
Charlotte,Michele,Howell,moconnor@example.com,,,730-675-1247,,,730-675-1247,2022-10-27,2024-10-16,Member in Good Standing,M,income-based,active,never,"No, but former union member",,,,Native American / Indigenous,"Yes, graduate student",Rafer Johnson Childrens Center,No,407106,San Francisco,,ME_02,43109 Anthony Drives,Suite 679,Rachelburgh,IN,94017,US,,
Mark,,Reeves,brandonfleming@example.net,,,,,,,2016-05-21,2023-03-24,Member,M,one-time,canceled_by_failure,canceled_by_admin,"Yes, retired union member",AFT,1260,,Hispanic / Latinx,"Yes, graduate student",Morrison Jr High School,No,516623,San Francisco,,ME_01,85173 Sanchez Village,Apt. 968,East Brittney,SD,94123,US,,
Erin,,Murphy,carla69@example.com,,,493-887-0610,(396)728-2629,,493-887-0610,2022-09-24,2024-10-20,Member in Good Standing,M,monthly,active,canceled_by_processor,"No, not a union member",,,,Prefer Not to Say,"Yes, graduate student",AMALIA MARIN,No,965984,San Francisco,,ME_02,50854 Brown Island,Suite 426,East Rickyport,MH,94122,US,,
Kevin,Thomas,Baker,matthewclark@example.net,,,9236501108,725-897-6638,,9236501108,2016-07-13,2017-09-28,Lapsed,L,one-time,past_due,,"Yes, current union member",SEIU,3969,,Pacific Islander,,,Yes,797135,San Francisco,,ME_01,5235 Sharon Stravenue,Apt. 604,Jessicashire,ID,94106,US,,
Jonathan,,Boone,amoore@example.net,,,7509282009,5516602993,,7509282009,2019-12-28,2024-03-05,Member in Good Standing,M,one-time,lapsed,active,"No, not a union member",,,,Asian,"Yes, high school student",Day Creek Intermediate,No,679699,San Francisco,,ME_02,77478 Rebecca Ranch,Apt. 745,Greenfurt,AK,94142,US,,
Michael,,Thompson,robertjones@example.net,True,,,3765903121,,3765903121,2022-05-16,2024-10-25,Member in Good Standing,M,income-based,canceled_by_admin,never,"Yes, retired union member",IBEW,432,,Jewish,No,,Membership card only,735126,San Francisco,,ME_01,115 Bridget Knoll,Apt. 340,Nathanhaven,UT,94188,US,,
Arthur,,Christensen,tconner@example.net,,,(638)262-4878,682-527-6019,,(638)262-4878,2016-04-19,2022-12-24,Lapsed,L,income-based,canceled_by_processor,never,Currently organizing my workplace,,,,West Asian / Middle Eastern,"Yes, graduate student",PARKWAY EL,Yes,527189,San Francisco,,ME_01,41128 Pamela Route,Apt. 369,Nicholasburgh,NM,94146,US,,
Mitchell,,Jordan,dbarry@example.org,,,903-330-6719,,,903-330-6719,2020-08-27,2022-04-24,Lapsed,L,one-time,past_due,never,Currently organizing my workplace,,,,Pacific Islander,"Yes, high school student",New Designs Charter,No,887918,San Francisco,,ME_01,636 Mathews Summit,Suite 813,Port Amandamouth,ME,94116,US,,
Lisa,Phillip.,Wilkinson,santiagoemily@example.com,,,9613803911,,,9613803911,2017-01-12,2018-07-02,Lapsed,L,annual,past_due,,,,,,Other,No,,Yes,525881,San Francisco,,ME_02,462 Craig Island,Suite 388,Lake Mandyfurt,UT,94137,US,,
David,,Mullins,troycombs@example.net,,TRUE,451-682-2809,,,451-682-2809,2021-07-16,2024-12-31,Member in Good Standing,M,yearly,past_due,canceled_by_admin,"No, not a union member",,,,Black / of African Descent,,,Membership card only,597250,San Francisco,,ME_01,545 Lopez Inlet,Apt. 206,West Kimshire,WY,94123,US,,
Drew,,Roach,marie71@example.org,,TRUE,366-441-2046,8983672466,,366-441-2046,2021-10-12,2023-06-26,Member,M,monthly,canceled_by_admin,canceled_by_processor,"No, not a union member",,,,Native American / Indigenous,No,,Yes,11092,San Francisco,,ME_01,0272 Jennifer Mountains,Suite 377,East Melissa,VA,94142,US,,
Lisa,,Martin,orozcogina@example.org,,TRUE,7855343456,,,7855343456,2018-12-11,2020-04-26,Lapsed,L,monthly,canceled_by_processor,canceled_by_admin,"Yes, current union member",SEIU,1635,,Jewish,,,No,313416,San Francisco,,ME_02,506 Mark Shoals,Apt. 282,South Brettfort,AZ,94144,US,,
Melissa,,Tanner,vhuang@example.com,,,(839)952-1106,280-225-9404,,(839)952-1106,2018-01-07,2019-07-06,Lapsed,L,monthly,past_due,canceled_by_processor,"No, but former union member",,,,Prefer Not to Say,No,,Yes,618314,San Francisco,,ME_01,4550 Collins Cove,Suite 552,New Michaelton,CT,94102,US,,
Christina,,Long,nfitzgerald@example.net,,,,,,,2016-05-30,2022-12-29,Lapsed,L,one-time,canceled_by_processor,never,"Yes, current union member",SEIU,2898,,Prefer Not to Say,,,No,312065,San Francisco,,ME_01,860 Davis Hills,Suite 445,Hansenchester,SD,94017,US,,
Benjamin,,Duke,jacksontanya@example.net,,,2645041602,,,2645041602,2016-01-04,2017-10-13,Lapsed,L,annual,canceled_by_processor,never,"No, not a union member",,,,White / of European Descent,"Yes, graduate student",Mira Loma High,Membership card only,643689,San Francisco,,ME_01,1822 John Rapids,Apt. 614,Joshuaville,LA,94109,US,,
John,,Green,bobbymiller@example.org,,,273-800-2116,,,273-800-2116,2019-04-13,2023-05-08,Member,M,one-time,canceled_by_processor,canceled_by_user,Currently organizing my workplace,,,,Prefer Not to Say,"Yes, high school student",Benjamin Logan High School,Yes,143429,San Francisco,,ME_01,77003 Brittany Cliff,Suite 717,West Kelsey,IL,94188,US,,
Zachary,,Hodge,cweaver@example.com,,,8653335327,775-713-8785,,8653335327,2020-06-29,2021-08-24,Lapsed,L,one-time,canceled_by_admin,canceled_by_processor,,,,,West Asian / Middle Eastern,"Yes, high school student",Kenneth Coombs School,Yes,523654,San Francisco,,ME_01,4830 Livingston Point,Apt. 558,West Sydneyberg,AL,94127,US,,
Heather,,Reyes,pbarton@example.org,,TRUE,(946)216-7643,,,(946)216-7643,2016-12-29,2022-06-24,Lapsed,L,income-based,canceled_by_failure,canceled_by_failure,"No, not a union member",,,,West Asian / Middle Eastern,,,Membership card only,377743,San Francisco,,ME_02,83973 Moore Mill,Suite 045,New Linda,WV,94104,US,,
Janet,,Davis,brandon94@example.com,,,9835059314,,,9835059314,2019-05-25,2021-04-05,Lapsed,L,annual,canceled_by_processor,canceled_by_processor,Currently organizing my workplace,,,,Prefer Not to Say,,,No,673007,San Francisco,,ME_01,65157 Mitchell Roads,Suite 818,East Faithtown,NM,94175,US,,
Anna,,Maynard,yharper@example.org,,,,,,,2018-04-19,2022-01-15,Lapsed,L,annual,canceled_by_admin,never,"No, not a union member",,,,White / of European Descent,No,,No,151715,San Francisco,,ME_02,826 Harper Alley,Suite 269,Barnettmouth,FM,94164,US,,
Rose,,Stephens,floresashley@example.com,,,,(570)614-2518,,(570)614-2518,2018-06-30,2020-03-01,Lapsed,L,yearly,canceled_by_admin,canceled_by_admin,Currently organizing my workplace,,,,Jewish,"Yes, high school student",Greenwood Northeast Elementary Sch,Membership card only,453176,San Francisco,,ME_02,7009 Warren Lane,Apt. 416,Port Kelsey,SD,94160,US,,
Christina,,Rodriguez,krausedevon@example.net,,,267-999-2025,,,267-999-2025,2023-04-23,2024-05-12,Member in Good Standing,M,income-based,lapsed,canceled_by_admin,"No, but former union member",,,,West Asian / Middle Eastern,"Yes, high school student",SANTA GERTRUDIS ACADEMY H S,No,718381,San Francisco,,ME_01,286 Alexandra Villages,Apt. 025,Maryhaven,CO,94188,US,,
Erika,,Hayes,phansen@example.com,,,,(436)466-0863,,(436)466-0863,2021-11-27,2023-01-29,Member,M,income-based,canceled_by_failure,,Currently organizing my workplace,,,,Prefer Not to Say,"Yes, college student",McKenzie Middle School,Membership card only,681887,San Francisco,,ME_01,182 Mitchell Vista,Apt. 159,Walkerstad,AL,94153,US,,
Matthew,,Miller,smithstacy@example.com,True,,,(673)608-3525,,(673)608-3525,2019-09-10,2021-06-08,Lapsed,L,one-time,lapsed,canceled_by_admin,Currently organizing my workplace,,,,Prefer Not to Say,"Yes, college student",Gibson Elementary,No,879096,San Francisco,,ME_01,75852 Heather Lights,Suite 131,Davidmouth,ID,94162,US,,
Donald,,Watson,mclaughlinjennifer@example.com,,,(338)669-7446,854-853-9273,,(338)669-7446,2016-01-13,2023-06-11,Member,M,income-based,canceled_by_processor,canceled_by_processor,"No, not a union member",,,,Native American / Indigenous,,,Yes,688611,San Francisco,,ME_02,04386 Kim Mews,Suite 915,Collinsfort,IA,94158,US,,
Nathan,,Harris,raven04@example.org,,,360-579-1985,,,360-579-1985,2023-07-10,2024-10-19,Member in Good Standing,M,income-based,lapsed,canceled_by_failure,,,,,Prefer Not to Say,"Yes, high school student",Vintage Parkway Elementary,No,806308,San Francisco,,ME_01,4102 Rice Brooks,Apt. 009,East Denise,PR,94164,US,,
Jennifer,,Phillips,lucas15@example.org,,,931-464-7780,2912367223,,931-464-7780,2018-11-02,2023-10-24,Member,M,yearly,past_due,never,"No, not a union member",,,,Asian,"Yes, college student",NORRIS ELEMENTARY SCHOOL,Membership card only,232735,San Francisco,,ME_02,6110 Davis Parks,Suite 388,South Jordanshire,WI,94115,US,,
Jennifer,,Jacobson,ewingerika@example.com,True,,,9509264866,,9509264866,2016-02-07,2017-11-25,Lapsed,L,yearly,canceled_by_processor,canceled_by_processor,Currently organizing my workplace,,,,Prefer Not to Say,"Yes, high school student",NIMITZ MIDDLE,Membership card only,90278,San Francisco,,ME_02,81642 Elizabeth Circle,Apt. 321,Doughertyshire,NH,94164,US,,
Zachary,,Costa,harperjesus@example.net,,,,,,,2022-01-08,2023-12-06,Member,M,income-based,canceled_by_processor,canceled_by_admin,"Yes, current union member",USW,78,,Native American / Indigenous,"Yes, graduate student",La Pluma Elementary,No,95552,San Francisco,,ME_01,08860 Tiffany Lodge,Apt. 245,Douglasland,IA,94126,US,,
Jessica,,Diaz,tiffany61@example.org,,,8874949269,,,8874949269,2019-02-16,2022-12-14,Lapsed,L,yearly,canceled_by_processor,canceled_by_failure,"Yes, retired union member",NEA,5947,,Asian,"Yes, graduate student",Stephen Foster Elementary Charter,Yes,309738,San Francisco,,ME_01,13338 Strong Street,Apt. 169,Hansenport,RI,94127,US,,
Seth,,Alexander,powerslori@example.com,,,(582)630-5393,,,(582)630-5393,2018-03-09,2023-12-25,Member,M,one-time,canceled_by_processor,canceled_by_admin,Currently organizing my workplace,,,,Jewish,"Yes, college student",MARTIN WARREN ELEM.,No,743034,San Francisco,,ME_02,33247 Shannon Plains,Suite 633,Lake Robert,MS,94110,US,,
Erica,,Aguirre,ericlopez@example.com,,,(496)529-3630,,,(496)529-3630,2019-11-14,2021-09-11,Lapsed,L,income-based,past_due,canceled_by_user,"No, but former union member",,,,Pacific Islander,"Yes, college student",Delta-Peach Bottom El Sch,Yes,49965,San Francisco,,ME_02,21097 Garcia Hills,Apt. 631,Port Robert,ID,94135,US,,
Kevin,,Kemp,shane33@example.net,True,,8873988446,,,8873988446,2021-03-21,2024-05-28,Member in Good Standing,M,income-based,past_due,,"No, but former union member",,,,Black / of African Descent,"Yes, high school student",IVY PRIMARY ACADEMY,Membership card only,616005,San Francisco,,ME_02,7549 William Lights,Apt. 857,Morenoville,NY,94114,US,,
Anita,,Figueroa,nmontoya@example.org,True,,6594810115,282-412-4397,,6594810115,2019-06-26,2024-07-30,Member in Good Standing,M,one-time,canceled_by_failure,canceled_by_user,,,,,Hispanic / Latinx,No,,Yes,581946,San Francisco,,ME_01,4780 Maria Glens,Apt. 571,East Jason,TN,94125,US,,
Jasmine,,Kelley,josestewart@example.net,,TRUE,(881)292-3487,(302)205-4108,,(881)292-3487,2021-02-12,2022-03-21,Lapsed,L,annual,past_due,canceled_by_failure,"No, but former union member",,,,Jewish,No,,No,281272,San Francisco,,ME_02,3768 Willis Forge,Apt. 193,Gregoryhaven,ND,94132,US,,
Lisa,,Lane,samuelwilkinson@example.net,,TRUE,729-972-6518,,,729-972-6518,2017-05-31,2018-06-15,Lapsed,L,income-based,lapsed,canceled_by_admin,,,,,West Asian / Middle Eastern,No,,No,629939,San Francisco,,ME_02,300 Williams Highway,Suite 537,Carlosfurt,IN,94106,US,,
Cindy,,Conley,keith68@example.org,,TRUE,(889)668-2866,5743246767,,(889)668-2866,2019-02-11,2021-11-09,Lapsed,L,one-time,canceled_by_failure,canceled_by_admin,"No, not a union member",,,,West Asian / Middle Eastern,,,Yes,903603,San Francisco,,ME_02,598 Barbara Fields,Suite 842,South Kimberlyton,DC,94135,US,,
Rachel,,Patel,orozcotim@example.net,,,,(984)308-6843,,(984)308-6843,2019-11-16,2024-06-11,Member in Good Standing,M,annual,canceled_by_admin,canceled_by_failure,"No, but former union member",,,,Prefer Not to Say,No,,No,120343,San Francisco,,ME_02,421 Molina Skyway,Apt. 997,North Christianfort,NM,94146,US,,
Maureen,,Hines,leeapril@example.net,,,(660)531-5184,541-600-4291,,(660)531-5184,2016-12-28,2024-06-24,Member in Good Standing,M,income-based,canceled_by_processor,canceled_by_processor,,,,,Prefer Not to Say,"Yes, college student",BRAZOS RIVER CHARTER SCHOOL,Yes,63073,San Francisco,,ME_01,8443 Cody Manor,Suite 281,Forbesburgh,VI,94156,US,,
David,,Flowers,trose@example.net,,,(518)914-1941,2178444647,,(518)914-1941,2017-11-13,2019-08-27,Lapsed,L,income-based,canceled_by_admin,never,"No, not a union member",,,,West Asian / Middle Eastern,"Yes, graduate student",RANN EL,Yes,812319,San Francisco,,ME_02,96117 Walker Bypass,Suite 387,New Taylor,ID,94140,US,,
William,Michelle.,Burgess,diana98@example.com,True,,,,,,2019-02-11,2021-01-05,Lapsed,L,yearly,canceled_by_failure,never,"Yes, retired union member",IBEW,4917,,Jewish,,,Yes,756987,San Francisco,,ME_02,74894 Edwards Parkways,Suite 536,Jennabury,NM,94154,US,,
Christopher,,Ellis,laurenosborn@example.com,,,4819785926,,,4819785926,2021-05-30,2022-11-29,Lapsed,L,monthly,canceled_by_processor,canceled_by_processor,Currently organizing my workplace,,,,Hispanic / Latinx,"Yes, college student",SOUTHEAST ARKANSAS PREPARATORY HIGH SCHOOL,No,433986,San Francisco,,ME_02,7320 French Fields,Suite 408,New John,MP,94150,US,,
Paul,,Daniel,willisdaniel@example.net,,,8573043068,,,8573043068,2023-12-12,2025-09-10,Member in Good Standing,M,monthly,past_due,canceled_by_user,"Yes, retired union member",Teamsters,5894,,White / of European Descent,"Yes, high school student",Manning High,Membership card only,345542,San Francisco,,ME_02,2192 Hall Port,Apt. 583,New Jennifer,GU,94154,US,,
Shannon,,Rice,elizabeth51@example.org,,,(407)361-7701,827-647-2199,,(407)361-7701,2021-02-19,2023-08-11,Member,M,one-time,canceled_by_failure,canceled_by_admin,Currently organizing my workplace,,,,Asian,"Yes, high school student",Starms Discovery,Yes,928997,San Francisco,,ME_01,2171 Taylor Mountain,Apt. 869,East Philip,MT,94102,US,,
Kristin,,Gross,barbaracampbell@example.com,True,,,(354)326-0643,,(354)326-0643,2018-10-15,2023-07-13,Member,M,monthly,past_due,never,"Yes, current union member",IBEW,817,,Prefer Not to Say,,,No,705360,San Francisco,,ME_01,51942 Craig Fort,Apt. 102,Cabrerashire,DC,94172,US,,
Amanda,,White,renee50@example.org,,,2974672382,(768)421-8577,,2974672382,2017-08-29,2019-08-02,Lapsed,L,yearly,canceled_by_failure,never,"Yes, current union member",UAW,3283,,West Asian / Middle Eastern,"Yes, graduate student",RALEIGH PRIMARY/EL ACADEMY,Membership card only,855062,San Francisco,,ME_01,8772 Renee Island,Apt. 218,Howeton,CA,94162,US,,
Mark,,Meyer,monicasavage@example.org,,,5688777084,407-712-4434,,5688777084,2019-10-04,2022-10-09,Lapsed,L,yearly,past_due,,"No, not a union member",,,,Black / of African Descent,No,,Membership card only,45095,San Francisco,,ME_02,2606 Huerta River,Apt. 668,Tammyhaven,AZ,94137,US,,
Nancy,,White,agray@example.com,,,,(327)296-4430,,(327)296-4430,2018-07-11,2021-08-17,Lapsed,L,one-time,canceled_by_admin,never,"No, not a union member",,,,Prefer Not to Say,"Yes, high school student",Eisenhower El Sch,No,700023,San Francisco,,ME_01,75864 Austin Highway,Suite 524,New Dylan,SD,94144,US,,
Steven,,Pearson,shannonchavez@example.com,,,(522)636-2066,(993)875-8856,,(522)636-2066,2023-08-03,2025-02-06,Member in Good Standing,M,monthly,lapsed,,"No, but former union member",,,,Other,,,Membership card only,928652,San Francisco,,ME_02,52052 Kelley Heights,Suite 135,Jacksonfort,CT,94143,US,,
Amy,,Robbins,sullivaneric@example.net,,TRUE,(332)977-3932,8047173994,,(332)977-3932,2019-04-07,2020-04-27,Lapsed,L,income-based,canceled_by_admin,,Currently organizing my workplace,,,,Black / of African Descent,"Yes, college student",Musser El Sch,Membership card only,355649,San Francisco,,ME_02,4612 Little Lights,Suite 008,Lake Sharon,AL,94163,US,,
Amanda,,Foster,qriley@example.net,,,3783921536,,,3783921536,2019-03-19,2020-04-30,Lapsed,L,annual,canceled_by_failure,canceled_by_processor,"Yes, current union member",UFCW,3862,,Asian,"Yes, graduate student",Lee Co Youth Detention Ctr,Yes,609258,San Francisco,,ME_02,5104 Singh Falls,Suite 106,North Markport,MS,94156,US,,
David,Lisa.,Davis,ipalmer@example.org,,,(435)499-1152,453-414-0344,,(435)499-1152,2023-12-23,2025-09-10,Member in Good Standing,M,annual,lapsed,active,"No, not a union member",,,,Native American / Indigenous,No,,No,411345,San Francisco,,ME_02,0902 Jennifer Terrace,Apt. 163,South Kimberly,IN,94134,US,,
Brooke,Alison,Silva,lroberts@example.com,True,,5382728298,702-964-8948,,5382728298,2021-08-14,2099-11-01,Member in Good Standing,M,one-time,canceled_by_failure,canceled_by_failure,"No, not a union member",,,,White / of European Descent,"Yes, high school student",Fultondale High School,Membership card only,249448,San Francisco,,ME_02,967 Guerra Junctions,Suite 435,East Laura,IN,94123,US,,
Cheryl,Amanda,Gross,megan97@example.com,,,(736)412-7968,,,(736)412-7968,2017-07-19,2018-08-24,Lapsed,L,monthly,canceled_by_admin,canceled_by_processor,"Yes, current union member",UFCW,3789,,White / of European Descent,,,Membership card only,880973,San Francisco,,ME_02,186 Thomas Place,Suite 123,Katherineton,OH,94137,US,,
Nicole,,Collins,levybrandon@example.org,True,,5057379698,,,5057379698,2017-06-14,2018-08-31,Lapsed,L,yearly,canceled_by_processor,canceled_by_failure,"Yes, retired union member",LIUNA,5910,,West Asian / Middle Eastern,"Yes, high school student",SALIDA EARLY CHILDHOOD CENTER,No,835055,San Francisco,,ME_01,2313 Charles Courts,Apt. 344,East Christina,NJ,94133,US,,
Ashley,,Ortiz,williamsamy@example.net,,TRUE,(361)949-3902,(481)695-1553,,(361)949-3902,2018-05-13,2019-10-10,Lapsed,L,yearly,canceled_by_admin,canceled_by_failure,Currently organizing my workplace,,,,Pacific Islander,"Yes, college student",Phillips High,No,32808,San Francisco,,ME_02,902 Chambers Course,Suite 063,Annamouth,TX,94154,US,,
Alec,,Moody,carolynbennett@example.net,,,(935)751-7341,7298708861,,(935)751-7341,2019-01-28,2021-01-08,Lapsed,L,yearly,canceled_by_failure,,Currently organizing my workplace,,,,West Asian / Middle Eastern,,,Membership card only,272467,San Francisco,,ME_02,985 Andrea Motorway,Suite 415,Brewerport,IN,94111,US,,
Michael,,Curry,keithhanson@example.com,,,(939)290-3131,611-575-7717,,(939)290-3131,2016-08-16,2018-03-29,Lapsed,L,income-based,past_due,never,"No, but former union member",,,,Hispanic / Latinx,"Yes, college student",New Hope Elementary,Yes,65280,San Francisco,,ME_01,1634 Parks Alley,Suite 337,New Charlesville,LA,94133,US,,
Bryan,,Harvey,pday@example.org,,,(547)264-6183,,,(547)264-6183,2020-01-30,2021-09-21,Lapsed,L,income-based,past_due,canceled_by_admin,Currently organizing my workplace,,,,Jewish,No,,No,698278,San Francisco,,ME_01,482 David Terrace,Apt. 169,New Curtis,PA,94124,US,,
Kyle,,Smith,clarkechristine@example.net,,,4367021012,(760)964-8982,,4367021012,2017-10-27,2019-03-30,Lapsed,L,annual,canceled_by_failure,canceled_by_processor,Currently organizing my workplace,,,,Other,No,,Yes,103058,San Francisco,,ME_01,2221 Adam Gardens,Suite 274,North Dawnfort,DC,94163,US,,
Meghan,,Hill,christopher75@example.com,,,(201)883-8990,,,(201)883-8990,2020-10-28,2023-05-30,Member,M,yearly,canceled_by_failure,never,"No, not a union member",,,,Native American / Indigenous,No,,Yes,935493,San Francisco,,ME_02,6163 Lee Garden,Suite 033,Kimberlybury,OR,94139,US,,
Miranda,,Taylor,andreadouglas@example.org,,,,(244)695-8883,,(244)695-8883,2018-08-04,2021-01-04,Lapsed,L,yearly,lapsed,canceled_by_user,"Yes, retired union member",LIUNA,5770,,Other,,,Membership card only,285869,San Francisco,,ME_01,239 Haley Turnpike,Apt. 626,East Steven,SC,94162,US,,
